PID USER PR NI VIRT RES SHR S %CPU %MEM TIME+ COMMAND
658 root 19 0 9616 2536 0 Ss 0.0 0.0 00:00:00 cron
693 root 19 0 341100 19620 0 Ssl 0.0 0.1 00:00:08 NetworkManager
705 root 19 0 317332 11820 0 Ssl 0.0 0.0 00:00:00 ModemManager
707 root 19 0 355676 2536 0 Sl 0.0 0.0 00:01:00 VBoxDRMClient
709 root 19 0 294456 3092 0 Sl 0.0 0.0 00:00:24 VBoxService
785 root 19 0 2023428 53580 0 Ssl 0.1 0.3 00:02:06 containerd
786 root 19 0 11784 7112 0 Ss 0.0 0.0 00:00:00 sshd
792 root 19 0 388176 9736 0 Ssl 0.0 0.0 00:00:00 gdm3
813 systemd+ 19 0 16624 6168 0 Ss 0.0 0.0 00:00:25 systemd-oomd
876 rtkit 18 1 21492 2924 0 SNsl 0.0 0.0 00:00:01 rtkit-daemon
1198 colord 19 0 320560 14252 0 Ssl 0.0 0.0 00:00:00 colord
1237 root 19 0 321588 9552 0 Ssl 0.0 0.0 00:00:00 upowerd
1344 pcscd 19 0 552252 7088 0 Ssl 0.0 0.0 00:00:00 pcscd
1449 root 19 0 312272 6772 0 Ssl 0.0 0.0 00:00:00 power-profiles-
1464 root 19 0 17512 6040 0 Ss 0.0 0.0 00:00:00 wpa_supplicant
1469 root 39 -20 0 0 0 I< 0.0 0.0 00:00:00 kworker/R-cfg80211
1612 root 19 0 388568 10124 0 Sl 0.0 0.0 00:00:00 gdm-session-wor
1628 yh 19 0 24048 13364 0 Ss 0.0 0.0 00:00:01 systemd
1630 yh 19 0 22584 2944 0 S 0.0 0.0 00:00:00 (sd-pam)
1656 yh 19 0 10296 6552 0 Ss 0.0 0.0 00:00:03 dbus-daemon
1657 yh 30 -11 108656 15000 0 S<sl 0.0 0.0 00:00:00 pipewire
1659 yh 19 0 186092 9908 0 SLsl 0.0 0.0 00:00:00 gnome-keyring-d
1660 yh 19 0 7212 3236 0 Ss 0.0 0.0 00:00:00 mpris-proxy
1661 yh 30 -11 483900 18656 0 S<sl 0.0 0.1 00:00:00 wireplumber
1664 yh 19 0 87444 4640 0 Ssl 0.0 0.0 00:00:00 pipewire
1665 yh 30 -11 174372 10696 0 S<sl 0.0 0.0 00:00:00 pipewire-pulse
1687 yh 19 0 171376 5796 0 Ssl+ 0.0 0.0 00:00:00 gdm-wayland-ses
1706 yh 19 0 165164 5460 0 Sl+ 0.0 0.0 00:00:00 gnome-session-i
1743 yh 19 0 97444 6308 0 Ssl 0.0 0.0 00:00:00 gcr-ssh-agent
1744 yh 19 0 89988 4444 0 Ssl 0.0 0.0 00:00:00 gnome-session-c
1745 yh 19 0 10556 5344 0 Ss 0.0 0.0 00:00:00 ssh-agent
1758 yh 19 0 316100 7836 0 Ssl 0.0 0.0 00:00:00 gvfsd
1767 yh 19 0 401312 7016 0 Sl 0.0 0.0 00:00:00 gvfsd-fuse
